Mon:11:01:06, Humidity: 46.19, Temp: 76.94, TVOC: 17.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.17, 0.21, 4.90
Mon:11:01:08, Humidity: 46.18, Temp: 76.92, TVOC: 11.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:01:09, Humidity: 46.18, Temp: 76.88, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:01:12, Humidity: 46.19, Temp: 76.90, TVOC: 9.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:01:12, Humidity: 46.18, Temp: 76.90, TVOC: 1.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.20, 4.90
Mon:11:01:13, Humidity: 46.19, Temp: 76.90, TVOC: 3.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.92
Mon:11:01:13, Humidity: 46.19, Temp: 76.92, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.90
Mon:11:01:14, Humidity: 46.18, Temp: 76.86, TVOC: 9.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:01:18, Humidity: 46.19, Temp: 76.88, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.92
Mon:11:01:18, Humidity: 46.19, Temp: 76.90, TVOC: 7.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.91
Mon:11:01:18, Humidity: 46.20, Temp: 76.90, TVOC: 1.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 5.00
Mon:11:01:19, Humidity: 46.21, Temp: 76.88, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.93
Mon:11:01:20, Humidity: 46.20, Temp: 76.86, TVOC: 8.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.410 ppm, 1.46, 0.43, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:01:23, Humidity: 46.19, Temp: 76.82, TVOC: 13.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.93
Mon:11:01:23, Humidity: 46.19, Temp: 76.86, TVOC: 17.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.93
Mon:11:01:23, Humidity: 46.20, Temp: 76.84, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:01:24, Humidity: 46.20, Temp: 76.88, TVOC: 12.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.93
Mon:11:01:25, Humidity: 46.21, Temp: 76.86, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.46, 0.44, 0.09, 0.30, 0.54, 0.16, 0.21, 4.93
Mon:11:01:29, Humidity: 46.22, Temp: 76.86, TVOC: 13.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.20, 4.84
Mon:11:01:29, Humidity: 46.20, Temp: 76.84, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.407 ppm, 1.47, 0.44, 0.09, 0.30, 0.52, 0.16, 0.21, 4.92
Mon:11:01:29, Humidity: 46.20, Temp: 76.86, TVOC: 7.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.409 ppm, 1.47, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.91
Mon:11:01:30, Humidity: 46.20, Temp: 76.86, TVOC: 5.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.409 ppm, 1.46, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 5.00
Mon:11:01:31, Humidity: 46.22, Temp: 76.84, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.409 ppm, 1.44, 0.44, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
