15:04:23, Si7021 test!
15:24:38, Humidity:    22.88	Temperature: 73.10
15:24:48, Humidity:    22.68	Temperature: 73.02
15:24:58, Humidity:    22.52	Temperature: 72.94
15:25:08, Humidity:    22.41	Temperature: 72.90
15:25:18, Humidity:    22.34	Temperature: 72.84
15:25:28, Humidity:    22.29	Temperature: 72.77
15:25:38, Humidity:    22.22	Temperature: 72.79
15:25:48, Humidity:    22.19	Temperature: 72.71
15:25:58, Humidity:    22.17	Temperature: 72.63
15:26:08, Humidity:    22.16	Temperature: 72.63
15:26:18, Humidity:    22.16	Temperature: 72.56
15:26:28, Humidity:    22.18	Temperature: 72.52
15:26:38, Humidity:    22.20	Temperature: 72.46
15:26:48, Humidity:    22.22	Temperature: 72.44
15:26:58, Humidity:    22.23	Temperature: 72.40
15:27:08, Humidity:    22.26	Temperature: 72.38
15:27:18, Humidity:    22.28	Temperature: 72.36
15:27:28, Humidity:    22.30	Temperature: 72.30
15:27:38, Humidity:    22.32	Temperature: 72.21
15:27:48, Humidity:    22.39	Temperature: 72.23
15:27:58, Humidity:    22.57	Temperature: 72.21
15:28:09, Humidity:    22.71	Temperature: 72.19
15:28:19, Humidity:    22.72	Temperature: 72.19
15:28:29, Humidity:    22.74	Temperature: 72.15
15:28:39, Humidity:    22.74	Temperature: 72.13
15:28:49, Humidity:    22.71	Temperature: 72.07
15:28:59, Humidity:    22.71	Temperature: 72.05
15:29:09, Humidity:    22.77	Temperature: 72.01
15:29:19, Humidity:    22.79	Temperature: 72.00
15:29:29, Humidity:    22.81	Temperature: 71.92
15:29:39, Humidity:    22.82	Temperature: 71.90
15:29:49, Humidity:    22.88	Temperature: 71.86
15:29:59, Humidity:    22.95	Temperature: 71.84
15:30:09, Humidity:    23.04	Temperature: 71.80
15:30:19, Humidity:    23.16	Temperature: 71.74
15:30:29, Humidity:    23.20	Temperature: 71.69
15:30:39, Humidity:    23.30	Temperature: 71.67
15:30:49, Humidity:    23.36	Temperature: 71.65
15:30:59, Humidity:    23.42	Temperature: 71.61
15:31:09, Humidity:    23.50	Temperature: 71.59
15:31:19, Humidity:    23.55	Temperature: 71.57
15:31:29, Humidity:    23.61	Temperature: 71.53
15:31:39, Humidity:    23.68	Temperature: 71.47
