16:29:53, Si7021 test!
16:50:08, Humidity:    41.13	Temperature: 69.18
16:50:18, Humidity:    41.14	Temperature: 69.16
16:50:28, Humidity:    41.18	Temperature: 69.14
16:50:38, Humidity:    41.21	Temperature: 69.14
16:50:48, Humidity:    41.20	Temperature: 69.14
16:50:59, Humidity:    41.18	Temperature: 69.12
16:51:09, Humidity:    41.18	Temperature: 69.10
16:51:19, Humidity:    41.18	Temperature: 69.12
16:51:29, Humidity:    41.18	Temperature: 69.12
16:51:39, Humidity:    41.18	Temperature: 69.16
16:51:49, Humidity:    41.23	Temperature: 69.10
16:51:59, Humidity:    41.23	Temperature: 69.08
16:52:09, Humidity:    41.20	Temperature: 69.08
16:52:19, Humidity:    41.21	Temperature: 69.10
16:52:29, Humidity:    41.22	Temperature: 69.08
16:52:39, Humidity:    41.22	Temperature: 69.08
16:52:49, Humidity:    41.25	Temperature: 69.10
16:52:59, Humidity:    41.26	Temperature: 69.08
16:53:09, Humidity:    41.28	Temperature: 69.10
16:53:19, Humidity:    41.25	Temperature: 69.12
16:53:29, Humidity:    41.23	Temperature: 69.06
16:53:39, Humidity:    41.19	Temperature: 69.08
16:53:49, Humidity:    41.17	Temperature: 69.08
16:53:59, Humidity:    41.21	Temperature: 69.10
16:54:09, Humidity:    41.22	Temperature: 69.06
16:54:19, Humidity:    41.19	Temperature: 69.06
16:54:29, Humidity:    41.19	Temperature: 69.06
16:54:39, Humidity:    41.14	Temperature: 69.06
16:54:49, Humidity:    41.12	Temperature: 69.02
16:55:00, Humidity:    41.14	Temperature: 69.06
16:55:10, Humidity:    41.21	Temperature: 69.02
16:55:20, Humidity:    41.21	Temperature: 69.06
16:55:30, Humidity:    41.33	Temperature: 69.02
16:55:40, Humidity:    41.37	Temperature: 69.04
16:55:50, Humidity:    41.37	Temperature: 69.02
16:56:00, Humidity:    41.35	Temperature: 69.06
16:56:10, Humidity:    41.39	Temperature: 69.06
16:56:20, Humidity:    41.46	Temperature: 69.04
16:56:30, Humidity:    41.47	Temperature: 69.04
16:56:40, Humidity:    41.44	Temperature: 69.00
16:56:50, Humidity:    41.47	Temperature: 69.02
16:57:00, Humidity:    41.47	Temperature: 69.06
16:57:10, Humidity:    41.47	Temperature: 69.04
16:57:20, Humidity:    41.51	Temperature: 69.06
16:57:30, Humidity:    41.49	Temperature: 69.08
16:57:40, Humidity:    41.53	Temperature: 69.00
16:57:50, Humidity:    41.53	Temperature: 69.00
16:58:00, Humidity:    41.50	Temperature: 69.02
16:58:10, Humidity:    41.51	Temperature: 69.04
16:58:20, Humidity:    41.49	Temperature: 69.02
16:58:30, Humidity:    41.50	Temperature: 68.98
16:58:40, Humidity:    41.51	Temperature: 69.00
16:58:50, Humidity:    41.50	Temperature: 69.00
16:59:00, Humidity:    41.48	Temperature: 69.00
16:59:11, Humidity:    41.50	Temperature: 68.98
16:59:21, Humidity:    41.49	Temperature: 68.98
16:59:31, Humidity:    41.51	Temperature: 68.98
16:59:41, Humidity:    41.55	Temperature: 69.00
16:59:51, Humidity:    41.50	Temperature: 69.02
17:00:01, Humidity:    41.50	Temperature: 68.95
17:00:11, Humidity:    41.51	Temperature: 69.00
