Mon:12:45:51, Humidity: 47.79, Temp: 74.81, TVOC: 5.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.454 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.96
Mon:12:45:52, Humidity: 47.77, Temp: 74.81, TVOC: 6.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 4.90
Mon:12:45:54, Humidity: 47.78, Temp: 74.79, TVOC: 3.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 5.00
Mon:12:45:54, Humidity: 47.75, Temp: 74.81, TVOC: 5.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.90
Mon:12:45:55, Humidity: 47.75, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.454 ppm, 1.44, 0.46, 0.08, 0.29, 0.49, 0.16, 0.20, 4.88
Mon:12:45:56, Humidity: 47.75, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 418.00 ppm, HCHO: 0.454 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:45:58, Humidity: 47.75, Temp: 74.81, TVOC: 6.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.29, 0.51, 0.16, 0.20, 4.88
Mon:12:46:00, Humidity: 47.75, Temp: 74.81, TVOC: 10.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.454 ppm, 1.47, 0.46, 0.08, 0.28, 0.51, 0.16, 0.20, 4.91
Mon:12:46:00, Humidity: 47.74, Temp: 74.79, TVOC: 2.00 ppb, eCOtwo: 418.00 ppm, HCHO: 0.452 ppm, 1.47, 0.46, 0.08, 0.29, 0.50, 0.16, 0.20, 4.91
Mon:12:46:01, Humidity: 47.72, Temp: 74.81, TVOC: 2.00 ppb, eCOtwo: 412.00 ppm, HCHO: 0.452 ppm, 1.46, 0.46, 0.08, 0.29, 0.50, 0.16, 0.19, 4.90
