2019-07-30 22:29:46, setup done
2019-07-30 22:30:16, Humidity: 68.66, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 433.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:17, Humidity: 68.65, Temp: 72.40, TVOC: 4.00 ppb, eCOtwo: 431.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:18, Humidity: 68.67, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 441.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:21, Humidity: 68.67, Temp: 72.42, TVOC: 1.00 ppb, eCOtwo: 436.00 ppm, HCHO: 0.179 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:21, Humidity: 68.66, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.180 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:21, Humidity: 68.66, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 439.00 ppm, HCHO: 0.180 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:22, Humidity: 68.64, Temp: 72.40, TVOC: 0.00 ppb, eCOtwo: 438.00 ppm, HCHO: 0.180 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:23, Humidity: 68.64, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 440.00 ppm, HCHO: 0.180 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:24, Humidity: 68.63, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 448.00 ppm, HCHO: 0.182 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:26, Humidity: 68.65, Temp: 72.40, TVOC: 3.00 ppb, eCOtwo: 463.00 ppm, HCHO: 0.182 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:27, Humidity: 68.65, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 456.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:28, Humidity: 68.66, Temp: 72.44, TVOC: 5.00 ppb, eCOtwo: 456.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:29, Humidity: 68.63, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 456.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:32, Humidity: 68.66, Temp: 72.40, TVOC: 2.00 ppb, eCOtwo: 451.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:32, Humidity: 68.63, Temp: 72.40, TVOC: 3.00 ppb, eCOtwo: 457.00 ppm, HCHO: 0.185 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:32, Humidity: 68.67, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 460.00 ppm, HCHO: 0.185 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:33, Humidity: 68.68, Temp: 72.44, TVOC: 10.00 ppb, eCOtwo: 473.00 ppm, HCHO: 0.185 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:34, Humidity: 68.68, Temp: 72.40, TVOC: 1.00 ppb, eCOtwo: 473.00 ppm, HCHO: 0.185 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:36, Humidity: 68.68, Temp: 72.44, TVOC: 0.00 ppb, eCOtwo: 487.00 ppm, HCHO: 0.185 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:37, Humidity: 68.69, Temp: 72.40, TVOC: 4.00 ppb, eCOtwo: 476.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:38, Humidity: 68.70, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 468.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:39, Humidity: 68.72, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 476.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:40, Humidity: 68.74, Temp: 72.44, TVOC: 0.00 ppb, eCOtwo: 476.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:43, Humidity: 68.76, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 474.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:43, Humidity: 68.77, Temp: 72.42, TVOC: 6.00 ppb, eCOtwo: 481.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:43, Humidity: 68.80, Temp: 72.44, TVOC: 5.00 ppb, eCOtwo: 484.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:44, Humidity: 68.80, Temp: 72.42, TVOC: 1.00 ppb, eCOtwo: 483.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:45, Humidity: 68.83, Temp: 72.46, TVOC: 4.00 ppb, eCOtwo: 491.00 ppm, HCHO: 0.183 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:47, Humidity: 68.83, Temp: 72.42, TVOC: 7.00 ppb, eCOtwo: 501.00 ppm, HCHO: 0.185 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:48, Humidity: 68.84, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 497.00 ppm, HCHO: 0.185 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:49, Humidity: 68.85, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 486.00 ppm, HCHO: 0.185 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:50, Humidity: 68.88, Temp: 72.42, TVOC: 2.00 ppb, eCOtwo: 488.00 ppm, HCHO: 0.185 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:51, Humidity: 68.89, Temp: 72.46, TVOC: 1.00 ppb, eCOtwo: 499.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:54, Humidity: 68.89, Temp: 72.42, TVOC: 0.00 ppb, eCOtwo: 493.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:54, Humidity: 68.89, Temp: 72.44, TVOC: 5.00 ppb, eCOtwo: 495.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:54, Humidity: 68.91, Temp: 72.44, TVOC: 0.00 ppb, eCOtwo: 500.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:55, Humidity: 68.91, Temp: 72.46, TVOC: 0.00 ppb, eCOtwo: 488.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:56, Humidity: 68.90, Temp: 72.44, TVOC: 0.00 ppb, eCOtwo: 499.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:58, Humidity: 68.92, Temp: 72.44, TVOC: 9.00 ppb, eCOtwo: 500.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:30:59, Humidity: 68.93, Temp: 72.46, TVOC: 3.00 ppb, eCOtwo: 505.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:00, Humidity: 68.92, Temp: 72.44, TVOC: 2.00 ppb, eCOtwo: 513.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:01, Humidity: 68.93, Temp: 72.46, TVOC: 0.00 ppb, eCOtwo: 515.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:02, Humidity: 68.95, Temp: 72.46, TVOC: 0.00 ppb, eCOtwo: 506.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:05, Humidity: 68.95, Temp: 72.44, TVOC: 0.00 ppb, eCOtwo: 515.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:05, Humidity: 68.98, Temp: 72.42, TVOC: 2.00 ppb, eCOtwo: 518.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:05, Humidity: 68.97, Temp: 72.52, TVOC: 5.00 ppb, eCOtwo: 523.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:06, Humidity: 68.99, Temp: 72.46, TVOC: 1.00 ppb, eCOtwo: 518.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:08, Humidity: 68.99, Temp: 72.46, TVOC: 0.00 ppb, eCOtwo: 521.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:09, Humidity: 69.02, Temp: 72.46, TVOC: 0.00 ppb, eCOtwo: 529.00 ppm, HCHO: 0.186 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:10, Humidity: 69.03, Temp: 72.46, TVOC: 15.00 ppb, eCOtwo: 533.00 ppm, HCHO: 0.187 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:11, Humidity: 69.04, Temp: 72.48, TVOC: 10.00 ppb, eCOtwo: 526.00 ppm, HCHO: 0.187 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:12, Humidity: 69.04, Temp: 72.48, TVOC: 7.00 ppb, eCOtwo: 524.00 ppm, HCHO: 0.187 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:13, Humidity: 69.05, Temp: 72.46, TVOC: 7.00 ppb, eCOtwo: 522.00 ppm, HCHO: 0.187 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:16, Humidity: 69.04, Temp: 72.44, TVOC: 9.00 ppb, eCOtwo: 510.00 ppm, HCHO: 0.187 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:16, Humidity: 69.06, Temp: 72.48, TVOC: 2.00 ppb, eCOtwo: 518.00 ppm, HCHO: 0.187 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:16, Humidity: 69.05, Temp: 72.46, TVOC: 8.00 ppb, eCOtwo: 518.00 ppm, HCHO: 0.187 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-30 22:31:17, Humidity: 69.08, Temp: 72.46, TVOC: 0.00 ppb, eCOtwo: 528.00 ppm, HCHO: 0.187 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
