2019-05-28 17:52:38, 7, 0.26, 0.43, 0.18, 0.21, 4.92
2019-05-28 17:53:08, Humidity: 68.25, Temp: 58.37, TVOC: 7.00 ppb, eCOtwo: 547.00 ppm, HCHO: 0.011 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:53:09, Humidity: 68.28, Temp: 58.37, TVOC: 6.00 ppb, eCOtwo: 549.00 ppm, HCHO: 0.011 ppm, 0.89, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.91
2019-05-28 17:53:12, Humidity: 68.29, Temp: 58.42, TVOC: 0.00 ppb, eCOtwo: 501.00 ppm, HCHO: 0.011 ppm, 0.89, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 5.00
2019-05-28 17:53:12, Humidity: 68.29, Temp: 58.42, TVOC: 20.00 ppb, eCOtwo: 507.00 ppm, HCHO: 0.012 ppm, 0.89, 0.22, 0.07, 0.26, 0.43, 0.19, 0.20, 4.90
2019-05-28 17:53:12, Humidity: 68.32, Temp: 58.42, TVOC: 6.00 ppb, eCOtwo: 535.00 ppm, HCHO: 0.012 ppm, 0.89, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.84
2019-05-28 17:53:13, Humidity: 68.34, Temp: 58.50, TVOC: 12.00 ppb, eCOtwo: 559.00 ppm, HCHO: 0.013 ppm, 0.89, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.87
2019-05-28 17:53:14, Humidity: 68.34, Temp: 58.50, TVOC: 17.00 ppb, eCOtwo: 575.00 ppm, HCHO: 0.013 ppm, 0.88, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:53:17, Humidity: 68.32, Temp: 58.52, TVOC: 15.00 ppb, eCOtwo: 564.00 ppm, HCHO: 0.014 ppm, 0.87, 0.22, 0.07, 0.25, 0.43, 0.18, 0.21, 4.91
2019-05-28 17:53:17, Humidity: 68.34, Temp: 58.52, TVOC: 22.00 ppb, eCOtwo: 587.00 ppm, HCHO: 0.014 ppm, 0.89, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.88
2019-05-28 17:53:18, Humidity: 68.34, Temp: 58.58, TVOC: 25.00 ppb, eCOtwo: 615.00 ppm, HCHO: 0.015 ppm, 0.89, 0.22, 0.07, 0.25, 0.43, 0.18, 0.20, 4.90
2019-05-28 17:53:19, Humidity: 68.31, Temp: 58.62, TVOC: 24.00 ppb, eCOtwo: 605.00 ppm, HCHO: 0.015 ppm, 0.90, 0.22, 0.07, 0.26, 0.43, 0.19, 0.20, 4.88
2019-05-28 17:53:20, Humidity: 68.30, Temp: 58.60, TVOC: 23.00 ppb, eCOtwo: 617.00 ppm, HCHO: 0.016 ppm, 0.90, 0.22, 0.07, 0.26, 0.43, 0.18, 0.21, 4.93
2019-05-28 17:53:23, Humidity: 68.31, Temp: 58.66, TVOC: 26.00 ppb, eCOtwo: 602.00 ppm, HCHO: 0.016 ppm, 0.91, 0.22, 0.06, 0.25, 0.42, 0.18, 0.20, 4.91
2019-05-28 17:53:23, Humidity: 68.30, Temp: 58.66, TVOC: 22.00 ppb, eCOtwo: 609.00 ppm, HCHO: 0.017 ppm, 0.90, 0.22, 0.07, 0.26, 0.43, 0.18, 0.20, 4.90
