2019-07-10 21:35:16, setup done
2019-07-10 21:35:16, Humidity: 58.92, Temp: 74.78, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 4.69, 4.07, 4.69, 4.07, 0.00
2019-07-10 21:35:17, Humidity: 58.90, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 0.00, 4.07, 4.69, 4.07, 3.44
2019-07-10 21:35:19, Humidity: 58.92, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 4.69, 4.07, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:20, Humidity: 58.92, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 4.07, 4.07, 4.69, 4.07, 4.69, 0.00
2019-07-10 21:35:21, Humidity: 58.91, Temp: 74.78, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 2.82, 2.82, 0.00, 0.00, 0.00
2019-07-10 21:35:22, Humidity: 58.91, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 1.56, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:23, Humidity: 58.90, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 4.69, 4.07, 4.07, 4.07, 4.07, 4.69, 4.07, 0.00
2019-07-10 21:35:24, Humidity: 58.91, Temp: 74.83, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:25, Humidity: 58.90, Temp: 74.78, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 4.07, 4.07, 4.69, 4.07, 4.07, 4.07, 0.00, 0.00
2019-07-10 21:35:26, Humidity: 58.90, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 4.07, 2.82, 0.00, 0.00, 0.00
2019-07-10 21:35:27, Humidity: 58.90, Temp: 74.83, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 4.07, 4.07, 4.69, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:28, Humidity: 58.90, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 4.69, 4.07, 2.50, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:30, Humidity: 58.91, Temp: 74.83, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 4.07, 4.07, 4.69
2019-07-10 21:35:31, Humidity: 58.91, Temp: 74.87, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 4.07, 2.82, 0.00, 2.82, 0.00, 0.00
2019-07-10 21:35:32, Humidity: 58.91, Temp: 74.81, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 4.07, 0.00, 0.00, 4.07, 4.07, 0.00
2019-07-10 21:35:33, Humidity: 58.88, Temp: 74.85, TVOC: 3.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:34, Humidity: 58.90, Temp: 74.85, TVOC: 5.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4.69, 0.00
2019-07-10 21:35:35, Humidity: 58.91, Temp: 74.85, TVOC: 0.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 0.00, 2.82, 4.07, 2.50, 0.00
2019-07-10 21:35:36, Humidity: 58.88, Temp: 74.83, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 1.56, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:37, Humidity: 58.88, Temp: 74.85, TVOC: 6.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 0.00, 4.69, 0.00, 0.00, 0.00
2019-07-10 21:35:40, Humidity: 58.88, Temp: 74.81, TVOC: 1.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 4.07, 4.69, 4.07, 4.07, 4.07, 0.00
2019-07-10 21:35:40, Humidity: 58.88, Temp: 74.87, TVOC: 2.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 3.75, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:41, Humidity: 58.88, Temp: 74.83, TVOC: 0.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 4.69, 4.07, 0.00, 4.07, 0.00
2019-07-10 21:35:42, Humidity: 58.86, Temp: 74.83, TVOC: 8.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.115 ppm, 0.00, 4.07, 4.07, 4.07, 4.07, 0.00, 0.00, 0.00
2019-07-10 21:35:43, Humidity: 58.87, Temp: 74.91, TVOC: 8.00 ppb, eCOtwo: 428.00 ppm, HCHO: 0.115 ppm, 0.00, 2.50, 4.07, 4.69, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:44, Humidity: 58.87, Temp: 74.89, TVOC: 3.00 ppb, eCOtwo: 437.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 3.44, 4.69, 0.00
2019-07-10 21:35:45, Humidity: 58.86, Temp: 74.89, TVOC: 15.00 ppb, eCOtwo: 436.00 ppm, HCHO: 0.113 ppm, 0.00, 0.00, 1.25, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:46, Humidity: 58.86, Temp: 74.87, TVOC: 11.00 ppb, eCOtwo: 451.00 ppm, HCHO: 0.115 ppm, 0.00, 4.07, 2.19, 4.07, 2.82, 2.82, 4.07, 0.00
2019-07-10 21:35:47, Humidity: 58.85, Temp: 74.89, TVOC: 10.00 ppb, eCOtwo: 480.00 ppm, HCHO: 0.115 ppm, 0.00, 4.69, 0.00, 4.07, 4.07, 0.00, 0.00, 0.00
2019-07-10 21:35:48, Humidity: 58.85, Temp: 74.87, TVOC: 9.00 ppb, eCOtwo: 492.00 ppm, HCHO: 0.115 ppm, 0.00, 0.00, 0.00, 4.07, 0.00, 4.69, 4.07, 4.07
2019-07-10 21:35:51, Humidity: 58.85, Temp: 74.89, TVOC: 14.00 ppb, eCOtwo: 512.00 ppm, HCHO: 0.113 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 4.69, 4.69, 0.00
2019-07-10 21:35:51, Humidity: 58.85, Temp: 74.89, TVOC: 19.00 ppb, eCOtwo: 522.00 ppm, HCHO: 0.113 ppm, 0.00, 0.00, 0.31, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:52, Humidity: 58.84, Temp: 74.91, TVOC: 16.00 ppb, eCOtwo: 515.00 ppm, HCHO: 0.113 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:53, Humidity: 58.82, Temp: 74.87, TVOC: 25.00 ppb, eCOtwo: 517.00 ppm, HCHO: 0.113 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-10 21:35:54, Humidity: 58.82, Temp: 74.91, TVOC: 13.00 ppb, eCOtwo: 524.00 ppm, HCHO: 0.113 ppm, 0.00, 4.07, 4.07, 4.07, 4.07, 4.07, 0.00, 0.00
2019-07-10 21:35:55, Humidity: 58.82, Temp: 74.93, TVOC: 14.00 ppb, eCOtwo: 526.00 ppm, HCHO: 0.113 ppm, 0.00, 0.00, 4.69, 4.69, 0.00, 0.00, 0.00, 0.00
