2019-07-11 20:57:30, setup done
2019-07-11 20:57:30, Humidity: 56.11, Temp: 75.32, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 4.69, 4.07, 0.00, 0.00, 0.00, 4.69, 0.00
2019-07-11 20:57:31, Humidity: 56.11, Temp: 75.32, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.69, 4.07, 0.31, 1.56, 0.00, 0.00
2019-07-11 20:57:32, Humidity: 56.13, Temp: 75.32, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 4.07, 4.07, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:33, Humidity: 56.12, Temp: 75.32, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.07, 4.69, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:34, Humidity: 56.12, Temp: 75.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 1.25, 0.00, 4.07, 1.56, 0.00, 0.00
2019-07-11 20:57:35, Humidity: 56.15, Temp: 75.30, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.69, 4.07, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:36, Humidity: 56.19, Temp: 75.32, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.07, 2.82, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:38, Humidity: 56.19, Temp: 75.32, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.69, 2.50, 0.00, 0.00, 0.00, 4.07
2019-07-11 20:57:39, Humidity: 56.19, Temp: 75.30, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.07, 0.00, 0.00, 0.00, 4.07, 0.00
2019-07-11 20:57:40, Humidity: 56.20, Temp: 75.28, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 0.00, 4.07, 2.82, 0.00, 0.00, 0.00
2019-07-11 20:57:41, Humidity: 56.24, Temp: 75.30, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.07, 2.82, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:42, Humidity: 56.23, Temp: 75.28, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.07, 4.07, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:43, Humidity: 56.24, Temp: 75.30, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.69, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:44, Humidity: 56.26, Temp: 75.30, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 2.82, 2.50, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:45, Humidity: 56.27, Temp: 75.30, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.134 ppm, 0.00, 4.07, 1.25, 0.00, 0.00, 4.07, 4.07, 0.00
2019-07-11 20:57:46, Humidity: 56.27, Temp: 75.28, TVOC: 2.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.134 ppm, 0.00, 4.07, 4.07, 1.25, 0.00, 4.69, 4.69, 4.07
2019-07-11 20:57:47, Humidity: 56.29, Temp: 75.30, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.134 ppm, 4.07, 0.00, 1.56, 0.00, 0.00, 4.07, 0.00, 0.00
2019-07-11 20:57:49, Humidity: 56.30, Temp: 75.28, TVOC: 11.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.134 ppm, 0.00, 0.00, 4.07, 2.82, 0.00, 0.00, 4.69, 0.00
2019-07-11 20:57:50, Humidity: 56.33, Temp: 75.30, TVOC: 0.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.136 ppm, 0.00, 0.00, 4.07, 2.50, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:51, Humidity: 56.34, Temp: 75.30, TVOC: 14.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.136 ppm, 0.00, 4.69, 4.69, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-11 20:57:53, Humidity: 56.36, Temp: 75.28, TVOC: 11.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.136 ppm, 4.07, 0.00, 0.00, 0.00, 4.69, 4.07, 0.00, 0.00
2019-07-11 20:57:53, Humidity: 56.37, Temp: 75.32, TVOC: 12.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.137 ppm, 0.00, 0.00, 4.69, 2.82, 0.00, 0.00, 0.00, 0.00
