Fri:21:25:27, 	Humidity: 25.97	Temp: 74.16	TVOC: 9 ppb	eCO2: 422 ppm
Fri:21:25:30, 	Humidity: 25.96	Temp: 74.18	TVOC: 18 ppb	eCO2: 431 ppm
Fri:21:25:33, 	Humidity: 25.95	Temp: 74.22	TVOC: 10 ppb	eCO2: 424 ppm
Fri:21:25:36, 	Humidity: 25.96	Temp: 74.23	TVOC: 11 ppb	eCO2: 426 ppm
Fri:21:25:39, 	Humidity: 25.94	Temp: 74.23	TVOC: 11 ppb	eCO2: 439 ppm
Fri:21:25:42, 	Humidity: 25.92	Temp: 74.25	TVOC: 8 ppb	eCO2: 436 ppm
Fri:21:25:45, 	Humidity: 25.92	Temp: 74.23	TVOC: 14 ppb	eCO2: 436 ppm
Fri:21:25:49, 	Humidity: 25.92	Temp: 74.18	TVOC: 9 ppb	eCO2: 441 ppm
Fri:21:25:52, 	Humidity: 25.89	Temp: 74.22	TVOC: 17 ppb	eCO2: 435 ppm
Fri:21:25:55, 	Humidity: 25.90	Temp: 74.23	TVOC: 10 ppb	eCO2: 422 ppm
Fri:21:25:58, 	Humidity: 25.89	Temp: 74.23	TVOC: 6 ppb	eCO2: 426 ppm
Fri:21:26:01, 	Humidity: 25.89	Temp: 74.23	TVOC: 9 ppb	eCO2: 423 ppm
Fri:21:26:04, 	Humidity: 25.89	Temp: 74.23	TVOC: 4 ppb	eCO2: 413 ppm
Fri:21:26:07, 	Humidity: 25.88	Temp: 74.25	TVOC: 10 ppb	eCO2: 415 ppm
Fri:21:26:10, 	Humidity: 25.85	Temp: 74.25	TVOC: 11 ppb	eCO2: 408 ppm
Fri:21:26:13, 	Humidity: 25.84	Temp: 74.27	TVOC: 11 ppb	eCO2: 418 ppm
Fri:21:26:17, 	Humidity: 25.85	Temp: 74.25	TVOC: 9 ppb	eCO2: 424 ppm
Fri:21:26:20, 	Humidity: 25.83	Temp: 74.25	TVOC: 8 ppb	eCO2: 412 ppm
Fri:21:26:23, 	Humidity: 25.83	Temp: 74.25	TVOC: 2 ppb	eCO2: 422 ppm
Fri:21:26:26, 	Humidity: 25.83	Temp: 74.27	TVOC: 2 ppb	eCO2: 419 ppm
Fri:21:26:29, 	Humidity: 25.82	Temp: 74.31	TVOC: 0 ppb	eCO2: 418 ppm
Fri:21:26:32, 	Humidity: 25.83	Temp: 74.35	TVOC: 4 ppb	eCO2: 420 ppm
Fri:21:26:35, 	Humidity: 25.80	Temp: 74.29	TVOC: 3 ppb	eCO2: 408 ppm
Fri:21:26:38, 	Humidity: 25.81	Temp: 74.31	TVOC: 10 ppb	eCO2: 414 ppm
Fri:21:26:41, 	Humidity: 25.79	Temp: 74.27	TVOC: 8 ppb	eCO2: 408 ppm
Fri:21:26:45, 	Humidity: 25.77	Temp: 74.27	TVOC: 10 ppb	eCO2: 414 ppm
Fri:21:26:48, 	Humidity: 25.77	Temp: 74.27	TVOC: 4 ppb	eCO2: 408 ppm
Fri:21:26:51, 	Humidity: 25.77	Temp: 74.27	TVOC: 9 ppb	eCO2: 417 ppm
Fri:21:26:54, 	Humidity: 25.78	Temp: 74.23	TVOC: 4 ppb	eCO2: 414 ppm
Fri:21:26:57, 	Humidity: 25.77	Temp: 74.25	TVOC: 5 ppb	eCO2: 401 ppm
Fri:21:27:00, 	Humidity: 25.77	Temp: 74.25	TVOC: 1 ppb	eCO2: 408 ppm
Fri:21:27:03, 	Humidity: 25.79	Temp: 74.22	TVOC: 6 ppb	eCO2: 406 ppm
Fri:21:27:06, 	Humidity: 25.76	Temp: 74.25	TVOC: 2 ppb	eCO2: 401 ppm
Fri:21:27:09, 	Humidity: 25.76	Temp: 74.25	TVOC: 1 ppb	eCO2: 401 ppm
Fri:21:27:13, 	Humidity: 25.79	Temp: 74.25	TVOC: 9 ppb	eCO2: 401 ppm
Fri:21:27:16, 	Humidity: 25.77	Temp: 74.25	TVOC: 12 ppb	eCO2: 404 ppm
Fri:21:27:19, 	Humidity: 25.76	Temp: 74.27	TVOC: 2 ppb	eCO2: 404 ppm
Fri:21:27:22, 	Humidity: 25.76	Temp: 74.27	TVOC: 0 ppb	eCO2: 400 ppm
Fri:21:27:25, 	Humidity: 25.74	Temp: 74.25	TVOC: 8 ppb	eCO2: 405 ppm
Fri:21:27:28, 	Humidity: 25.74	Temp: 74.27	TVOC: 8 ppb	eCO2: 404 ppm
Fri:21:27:31, 	Humidity: 25.75	Temp: 74.25	TVOC: 0 ppb	eCO2: 400 ppm
Fri:21:27:34, 	Humidity: 25.76	Temp: 74.27	TVOC: 6 ppb	eCO2: 410 ppm
Fri:21:27:37, 	Humidity: 25.74	Temp: 74.25	TVOC: 8 ppb	eCO2: 404 ppm
Fri:21:27:41, 	Humidity: 25.76	Temp: 74.22	TVOC: 0 ppb	eCO2: 400 ppm
Fri:21:27:44, 	Humidity: 25.73	Temp: 74.25	TVOC: 7 ppb	eCO2: 400 ppm
Fri:21:27:47, 	Humidity: 25.73	Temp: 74.23	TVOC: 0 ppb	eCO2: 404 ppm
Fri:21:27:50, 	Humidity: 25.73	Temp: 74.25	TVOC: 2 ppb	eCO2: 406 ppm
Fri:21:27:53, 	Humidity: 25.75	Temp: 74.25	TVOC: 5 ppb	eCO2: 400 ppm
Fri:21:27:56, 	Humidity: 25.75	Temp: 74.27	TVOC: 10 ppb	eCO2: 406 ppm
Fri:21:27:59, 	Humidity: 25.74	Temp: 74.20	TVOC: 2 ppb	eCO2: 400 ppm
Fri:21:28:02, 	Humidity: 25.74	Temp: 74.22	TVOC: 3 ppb	eCO2: 402 ppm
Fri:21:28:05, 	Humidity: 25.73	Temp: 74.20	TVOC: 6 ppb	eCO2: 414 ppm
Fri:21:28:09, 	Humidity: 25.75	Temp: 74.16	TVOC: 10 ppb	eCO2: 406 ppm
Fri:21:28:12, 	Humidity: 25.73	Temp: 74.16	TVOC: 6 ppb	eCO2: 403 ppm
Fri:21:28:15, 	Humidity: 25.73	Temp: 74.16	TVOC: 0 ppb	eCO2: 400 ppm
Fri:21:28:18, 	Humidity: 25.75	Temp: 74.18	TVOC: 3 ppb	eCO2: 400 ppm
Fri:21:28:21, 	Humidity: 25.73	Temp: 74.18	TVOC: 8 ppb	eCO2: 401 ppm
Fri:21:28:24, 	Humidity: 25.76	Temp: 74.16	TVOC: 0 ppb	eCO2: 400 ppm
Fri:21:28:27, 	Humidity: 25.76	Temp: 74.12	TVOC: 9 ppb	eCO2: 405 ppm
Fri:21:28:30, 	Humidity: 25.76	Temp: 74.14	TVOC: 7 ppb	eCO2: 400 ppm
Fri:21:28:34, 	Humidity: 25.79	Temp: 74.10	TVOC: 0 ppb	eCO2: 400 ppm
Fri:21:28:37, 	Humidity: 25.79	Temp: 74.14	TVOC: 4 ppb	eCO2: 400 ppm
