2019-07-15 17:54:00, setup done
2019-07-15 17:54:01, Humidity: 56.40, Temp: 74.54, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.190 ppm, 3.40, 0.70, 0.29, 0.55, 1.28, 0.38, 0.75, 4.98
2019-07-15 17:54:02, Humidity: 56.38, Temp: 74.56, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.190 ppm, 3.37, 0.69, 0.26, 0.52, 1.25, 0.37, 0.73, 4.91
2019-07-15 17:54:03, Humidity: 56.36, Temp: 74.51, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.189 ppm, 3.34, 0.68, 0.24, 0.51, 1.21, 0.37, 0.70, 4.92
2019-07-15 17:54:04, Humidity: 56.38, Temp: 74.52, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.187 ppm, 3.30, 0.67, 0.23, 0.49, 1.19, 0.36, 0.69, 4.88
2019-07-15 17:54:05, Humidity: 56.38, Temp: 74.49, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.187 ppm, 3.27, 0.66, 0.22, 0.47, 1.15, 0.35, 0.67, 4.90
2019-07-15 17:54:06, Humidity: 56.39, Temp: 74.54, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.186 ppm, 3.23, 0.66, 0.21, 0.46, 1.13, 0.35, 0.66, 5.00
2019-07-15 17:54:08, Humidity: 56.38, Temp: 74.56, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.186 ppm, 3.22, 0.65, 0.20, 0.45, 1.11, 0.35, 0.64, 5.00
2019-07-15 17:54:09, Humidity: 56.37, Temp: 74.54, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.185 ppm, 3.19, 0.64, 0.19, 0.44, 1.09, 0.34, 0.64, 4.84
2019-07-15 17:54:10, Humidity: 56.40, Temp: 74.54, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.185 ppm, 3.18, 0.63, 0.18, 0.43, 1.08, 0.33, 0.63, 4.92
2019-07-15 17:54:11, Humidity: 56.39, Temp: 74.56, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.185 ppm, 3.15, 0.63, 0.18, 0.43, 1.06, 0.32, 0.63, 4.84
2019-07-15 17:54:12, Humidity: 56.37, Temp: 74.54, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.185 ppm, 3.13, 0.63, 0.18, 0.41, 1.05, 0.33, 0.62, 4.92
