Mon:11:17:49,  0.48, 0.09, 0.30, 0.53, 0.17, 0.22, 4.93
Mon:11:18:18, Humidity: 46.24, Temp: 77.01, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.533 ppm, 1.51, 0.47, 0.09, 0.30, 0.54, 0.17, 0.21, 4.92
Mon:11:18:19, Humidity: 46.25, Temp: 77.01, TVOC: 8.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.533 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:18:22, Humidity: 46.24, Temp: 76.98, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.533 ppm, 1.51, 0.48, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:18:22, Humidity: 46.25, Temp: 77.01, TVOC: 12.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.533 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.90
Mon:11:18:23, Humidity: 46.24, Temp: 77.01, TVOC: 6.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.533 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:18:24, Humidity: 46.24, Temp: 76.98, TVOC: 5.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.533 ppm, 1.51, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.90
Mon:11:18:25, Humidity: 46.26, Temp: 77.01, TVOC: 8.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.533 ppm, 1.51, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 5.00
Mon:11:18:28, Humidity: 46.24, Temp: 77.00, TVOC: 7.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.533 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.92
Mon:11:18:28, Humidity: 46.24, Temp: 77.00, TVOC: 14.00 ppb, eCOtwo: 419.00 ppm, HCHO: 0.533 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:18:28, Humidity: 46.26, Temp: 76.96, TVOC: 16.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.533 ppm, 1.51, 0.47, 0.09, 0.30, 0.53, 0.16, 0.21, 4.88
Mon:11:18:29, Humidity: 46.25, Temp: 77.01, TVOC: 11.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.533 ppm, 1.52, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.97
Mon:11:18:30, Humidity: 46.26, Temp: 76.98, TVOC: 15.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.533 ppm, 1.51, 0.47, 0.09, 0.30, 0.53, 0.16, 0.20, 4.84
Mon:11:18:33, Humidity: 46.25, Temp: 76.96, TVOC: 7.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.533 ppm, 1.51, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.92
Mon:11:18:33, Humidity: 46.26, Temp: 76.94, TVOC: 12.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.533 ppm, 1.51, 0.48, 0.09, 0.30, 0.53, 0.16, 0.21, 4.84
Mon:11:18:34, Humidity: 46.26, Temp: 76.96, TVOC: 5.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.533 ppm, 1.51, 0.47, 0.09, 0.30, 0.54, 0.16, 0.20, 4.92
Mon:11:18:35, Humidity: 46.28, Temp: 77.01, TVOC: 9.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.533 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:18:36, Humidity: 46.28, Temp: 77.00, TVOC: 20.00 ppb, eCOtwo: 422.00 ppm, HCHO: 0.533 ppm, 1.51, 0.48, 0.09, 0.31, 0.53, 0.17, 0.21, 4.88
Mon:11:18:39, Humidity: 46.27, Temp: 76.96, TVOC: 11.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.533 ppm, 1.50, 0.47, 0.09, 0.30, 0.54, 0.16, 0.21, 4.91
Mon:11:18:39, Humidity: 46.27, Temp: 76.96, TVOC: 12.00 ppb, eCOtwo: 431.00 ppm, HCHO: 0.533 ppm, 1.51, 0.48, 0.09, 0.30, 0.53, 0.16, 0.20, 4.90
