2019-06-03 18:06:37, Humidity: 32.45, Temp: 72.40, TVOC: 16.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.011 ppm, 0.66, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.89
2019-06-03 18:06:38, Humidity: 32.43, Temp: 72.40, TVOC: 12.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.012 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.19, 4.93
2019-06-03 18:06:39, Humidity: 32.43, Temp: 72.40, TVOC: 8.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.013 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.86
2019-06-03 18:06:42, Humidity: 32.39, Temp: 72.40, TVOC: 6.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.013 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.17, 0.18, 4.88
2019-06-03 18:06:42, Humidity: 32.39, Temp: 72.38, TVOC: 2.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.014 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.89
2019-06-03 18:06:42, Humidity: 32.37, Temp: 72.42, TVOC: 10.00 ppb, eCOtwo: 411.00 ppm, HCHO: 0.015 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 4.84
2019-06-03 18:06:43, Humidity: 32.34, Temp: 72.38, TVOC: 13.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.016 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.86
2019-06-03 18:06:45, Humidity: 32.34, Temp: 72.38, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.017 ppm, 0.64, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:46, Humidity: 32.30, Temp: 72.40, TVOC: 0.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.017 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:47, Humidity: 32.27, Temp: 72.34, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.84
2019-06-03 18:06:48, Humidity: 32.21, Temp: 72.38, TVOC: 3.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.97
2019-06-03 18:06:49, Humidity: 32.18, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.06, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:50, Humidity: 32.17, Temp: 72.38, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.91
2019-06-03 18:06:53, Humidity: 32.11, Temp: 72.34, TVOC: 12.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.20, 0.38, 0.16, 0.18, 4.93
2019-06-03 18:06:53, Humidity: 32.09, Temp: 72.34, TVOC: 4.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.17, 0.18, 4.88
2019-06-03 18:06:53, Humidity: 32.08, Temp: 72.36, TVOC: 0.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.82
2019-06-03 18:06:54, Humidity: 32.04, Temp: 72.34, TVOC: 2.00 ppb, eCOtwo: 427.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.37, 0.16, 0.18, 5.00
2019-06-03 18:06:56, Humidity: 32.01, Temp: 72.34, TVOC: 4.00 ppb, eCOtwo: 434.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.89
2019-06-03 18:06:57, Humidity: 32.01, Temp: 72.38, TVOC: 8.00 ppb, eCOtwo: 441.00 ppm, HCHO: 0.018 ppm, 0.64, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.92
2019-06-03 18:06:58, Humidity: 32.00, Temp: 72.30, TVOC: 10.00 ppb, eCOtwo: 456.00 ppm, HCHO: 0.018 ppm, 0.65, 0.22, 0.05, 0.21, 0.38, 0.16, 0.18, 4.88
