2019-07-28 10:39:56, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:39:57, setup done
2019-07-28 10:40:27, Humidity: 72.91, Temp: 78.27, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.074 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:28, Humidity: 73.07, Temp: 78.27, TVOC: 0.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:31, Humidity: 73.21, Temp: 78.25, TVOC: 0.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:31, Humidity: 73.36, Temp: 78.29, TVOC: 3.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:32, Humidity: 73.46, Temp: 78.29, TVOC: 0.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.076 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:33, Humidity: 73.59, Temp: 78.35, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.076 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:34, Humidity: 73.75, Temp: 78.37, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.077 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:35, Humidity: 73.89, Temp: 78.39, TVOC: 0.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.078 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:36, Humidity: 74.03, Temp: 78.39, TVOC: 0.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.078 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:37, Humidity: 74.11, Temp: 78.39, TVOC: 3.00 ppb, eCOtwo: 443.00 ppm, HCHO: 0.079 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:38, Humidity: 74.14, Temp: 78.44, TVOC: 2.00 ppb, eCOtwo: 451.00 ppm, HCHO: 0.079 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:39, Humidity: 74.19, Temp: 78.44, TVOC: 0.00 ppb, eCOtwo: 470.00 ppm, HCHO: 0.079 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:42, Humidity: 74.17, Temp: 78.46, TVOC: 0.00 ppb, eCOtwo: 483.00 ppm, HCHO: 0.079 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:42, Humidity: 74.19, Temp: 78.50, TVOC: 0.00 ppb, eCOtwo: 470.00 ppm, HCHO: 0.078 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:43, Humidity: 74.20, Temp: 78.46, TVOC: 0.00 ppb, eCOtwo: 462.00 ppm, HCHO: 0.078 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:44, Humidity: 74.20, Temp: 78.50, TVOC: 7.00 ppb, eCOtwo: 470.00 ppm, HCHO: 0.076 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:45, Humidity: 74.18, Temp: 78.54, TVOC: 4.00 ppb, eCOtwo: 469.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:46, Humidity: 74.18, Temp: 78.56, TVOC: 0.00 ppb, eCOtwo: 458.00 ppm, HCHO: 0.075 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:47, Humidity: 74.17, Temp: 78.56, TVOC: 0.00 ppb, eCOtwo: 458.00 ppm, HCHO: 0.073 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:48, Humidity: 74.14, Temp: 78.58, TVOC: 7.00 ppb, eCOtwo: 455.00 ppm, HCHO: 0.072 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:49, Humidity: 74.13, Temp: 78.58, TVOC: 8.00 ppb, eCOtwo: 455.00 ppm, HCHO: 0.070 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:51, Humidity: 74.10, Temp: 78.60, TVOC: 8.00 ppb, eCOtwo: 444.00 ppm, HCHO: 0.069 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:54, Humidity: 74.10, Temp: 78.58, TVOC: 3.00 ppb, eCOtwo: 429.00 ppm, HCHO: 0.068 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:54, Humidity: 74.07, Temp: 78.64, TVOC: 4.00 ppb, eCOtwo: 424.00 ppm, HCHO: 0.066 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:54, Humidity: 74.07, Temp: 78.66, TVOC: 0.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.065 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:55, Humidity: 74.08, Temp: 78.69, TVOC: 0.00 ppb, eCOtwo: 415.00 ppm, HCHO: 0.064 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:56, Humidity: 74.08, Temp: 78.69, TVOC: 0.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.062 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:57, Humidity: 74.05, Temp: 78.71, TVOC: 0.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.062 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:58, Humidity: 74.08, Temp: 78.69, TVOC: 2.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.061 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:40:59, Humidity: 74.11, Temp: 78.75, TVOC: 2.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.060 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:00, Humidity: 74.16, Temp: 78.75, TVOC: 0.00 ppb, eCOtwo: 413.00 ppm, HCHO: 0.059 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:02, Humidity: 74.19, Temp: 78.79, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.058 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:04, Humidity: 74.19, Temp: 78.77, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.057 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:04, Humidity: 74.23, Temp: 78.83, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.057 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:05, Humidity: 74.23, Temp: 78.83, TVOC: 0.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.056 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:06, Humidity: 74.26, Temp: 78.81, TVOC: 4.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.056 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:07, Humidity: 74.24, Temp: 78.91, TVOC: 1.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.055 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:08, Humidity: 74.23, Temp: 78.87, TVOC: 0.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.055 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:09, Humidity: 74.23, Temp: 78.85, TVOC: 0.00 ppb, eCOtwo: 410.00 ppm, HCHO: 0.055 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2019-07-28 10:41:10, Humidity: 74.20, Temp: 78.93, TVOC: 8.00 ppb, eCOtwo: 426.00 ppm, HCHO: 0.055 ppm, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
