Tue:22:16:06, eCOtwo: 552.00 ppm	HCHO: 0.014 ppm
Tue:22:16:06, 31.00 ppb	eCOtwo: 555.00 ppm	HCHO: 0.013 ppm
Tue:22:16:52, 	Humidity: 40.47	Temp: 76.92	TVOC: 15.00 ppb	eCOtwo: 408.00 ppm	HCHO: 0.011 ppm
Tue:22:16:53, 	Humidity: 40.47	Temp: 76.94	TVOC: 13.00 ppb	eCOtwo: 419.00 ppm	HCHO: 0.012 ppm
Tue:22:16:55, 	Humidity: 40.46	Temp: 76.94	TVOC: 12.00 ppb	eCOtwo: 420.00 ppm	HCHO: 0.013 ppm
Tue:22:16:56, 	Humidity: 40.46	Temp: 76.94	TVOC: 19.00 ppb	eCOtwo: 426.00 ppm	HCHO: 0.014 ppm
Tue:22:16:57, 	Humidity: 40.44	Temp: 76.96	TVOC: 10.00 ppb	eCOtwo: 433.00 ppm	HCHO: 0.015 ppm
Tue:22:16:58, 	Humidity: 40.46	Temp: 76.96	TVOC: 17.00 ppb	eCOtwo: 420.00 ppm	HCHO: 0.016 ppm
Tue:22:16:59, 	Humidity: 40.46	Temp: 76.92	TVOC: 17.00 ppb	eCOtwo: 429.00 ppm	HCHO: 0.016 ppm
Tue:22:17:00, 	Humidity: 40.46	Temp: 76.98	TVOC: 15.00 ppb	eCOtwo: 433.00 ppm	HCHO: 0.016 ppm
Tue:22:17:01, 	Humidity: 40.45	Temp: 76.94	TVOC: 15.00 ppb	eCOtwo: 437.00 ppm	HCHO: 0.017 ppm
Tue:22:17:02, 	Humidity: 40.44	Temp: 76.98	TVOC: 20.00 ppb	eCOtwo: 438.00 ppm	HCHO: 0.017 ppm
Tue:22:17:03, 	Humidity: 40.46	Temp: 76.94	TVOC: 14.00 ppb	eCOtwo: 431.00 ppm	HCHO: 0.018 ppm
Tue:22:17:05, 	Humidity: 40.46	Temp: 76.96	TVOC: 15.00 ppb	eCOtwo: 436.00 ppm	HCHO: 0.017 ppm
Tue:22:17:06, 	Humidity: 40.47	Temp: 76.98	TVOC: 17.00 ppb	eCOtwo: 429.00 ppm	HCHO: 0.017 ppm
