2019-05-29 18:56:25, Humidity: 61.77, Temp: 59.10, TVOC: 0.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:56:26, Humidity: 61.78, Temp: 59.10, TVOC: 0.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.16, 0.19, 4.91
2019-05-29 18:56:27, Humidity: 61.80, Temp: 59.10, TVOC: 5.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.06, 0.22, 0.40, 0.17, 0.19, 4.92
2019-05-29 18:56:29, Humidity: 61.80, Temp: 59.08, TVOC: 1.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:56:29, Humidity: 61.79, Temp: 59.08, TVOC: 7.00 ppb, eCOtwo: 402.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.40, 0.16, 0.19, 4.90
2019-05-29 18:56:30, Humidity: 61.81, Temp: 59.08, TVOC: 2.00 ppb, eCOtwo: 417.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:56:31, Humidity: 61.82, Temp: 59.12, TVOC: 2.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.87
2019-05-29 18:56:32, Humidity: 61.84, Temp: 59.12, TVOC: 1.00 ppb, eCOtwo: 401.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.40, 0.16, 0.19, 4.98
2019-05-29 18:56:35, Humidity: 61.84, Temp: 59.10, TVOC: 5.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.06, 0.22, 0.40, 0.16, 0.19, 4.90
2019-05-29 18:56:35, Humidity: 61.84, Temp: 59.12, TVOC: 3.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.016 ppm, 0.76, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:56:36, Humidity: 61.84, Temp: 59.12, TVOC: 7.00 ppb, eCOtwo: 404.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.16, 0.19, 4.91
2019-05-29 18:56:37, Humidity: 61.87, Temp: 59.14, TVOC: 3.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:56:38, Humidity: 61.87, Temp: 59.12, TVOC: 7.00 ppb, eCOtwo: 408.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.88
2019-05-29 18:56:40, Humidity: 61.90, Temp: 59.12, TVOC: 5.00 ppb, eCOtwo: 407.00 ppm, HCHO: 0.016 ppm, 0.77, 0.22, 0.07, 0.23, 0.41, 0.17, 0.19, 4.84
2019-05-29 18:56:40, Humidity: 61.89, Temp: 59.18, TVOC: 6.00 ppb, eCOtwo: 414.00 ppm, HCHO: 0.015 ppm, 0.77, 0.22, 0.07, 0.22, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:56:41, Humidity: 61.89, Temp: 59.14, TVOC: 2.00 ppb, eCOtwo: 405.00 ppm, HCHO: 0.015 ppm, 0.77, 0.22, 0.06, 0.23, 0.40, 0.16, 0.19, 4.92
2019-05-29 18:56:42, Humidity: 61.90, Temp: 59.18, TVOC: 10.00 ppb, eCOtwo: 400.00 ppm, HCHO: 0.015 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.84
2019-05-29 18:56:44, Humidity: 61.89, Temp: 59.16, TVOC: 0.00 ppb, eCOtwo: 409.00 ppm, HCHO: 0.015 ppm, 0.77, 0.22, 0.07, 0.23, 0.40, 0.17, 0.19, 4.91
2019-05-29 18:56:46, Humidity: 61.90, Temp: 59.16, TVOC: 12.00 ppb, eCOtwo: 406.00 ppm, HCHO: 0.015 ppm, 0.76, 0.22, 0.07, 0.23, 0.39, 0.17, 0.19, 4.91
