Sun:23:09:05, 	Humidity: 37.29	Temp: 69.97	TVOC: 3.00 ppb	eCOtwo: 407.00 ppm	HCHO: 0.021 ppm
Sun:23:09:06, 	Humidity: 37.29	Temp: 69.91	TVOC: 0.00 ppb	eCOtwo: 411.00 ppm	HCHO: 0.021 ppm
Sun:23:09:07, 	Humidity: 37.29	Temp: 69.91	TVOC: 0.00 ppb	eCOtwo: 421.00 ppm	HCHO: 0.021 ppm
Sun:23:09:08, 	Humidity: 37.30	Temp: 69.89	TVOC: 0.00 ppb	eCOtwo: 417.00 ppm	HCHO: 0.021 ppm
Sun:23:09:09, 	Humidity: 37.32	Temp: 69.89	TVOC: 6.00 ppb	eCOtwo: 422.00 ppm	HCHO: 0.021 ppm
Sun:23:09:10, 	Humidity: 37.32	Temp: 69.89	TVOC: 0.00 ppb	eCOtwo: 417.00 ppm	HCHO: 0.021 ppm
Sun:23:09:11, 	Humidity: 37.33	Temp: 69.91	TVOC: 0.00 ppb	eCOtwo: 422.00 ppm	HCHO: 0.021 ppm
Sun:23:09:12, 	Humidity: 37.33	Temp: 69.87	TVOC: 0.00 ppb	eCOtwo: 418.00 ppm	HCHO: 0.021 ppm
Sun:23:09:14, 	Humidity: 37.34	Temp: 69.89	TVOC: 2.00 ppb	eCOtwo: 413.00 ppm	HCHO: 0.021 ppm
Sun:23:09:15, 	Humidity: 37.35	Temp: 69.87	TVOC: 0.00 ppb	eCOtwo: 427.00 ppm	HCHO: 0.021 ppm
Sun:23:09:16, 	Humidity: 37.36	Temp: 69.85	TVOC: 0.00 ppb	eCOtwo: 428.00 ppm	HCHO: 0.021 ppm
Sun:23:09:17, 	Humidity: 37.36	Temp: 69.89	TVOC: 0.00 ppb	eCOtwo: 428.00 ppm	HCHO: 0.021 ppm
Sun:23:09:18, 	Humidity: 37.35	Temp: 69.87	TVOC: 3.00 ppb	eCOtwo: 424.00 ppm	HCHO: 0.021 ppm
Sun:23:09:19, 	Humidity: 37.36	Temp: 69.91	TVOC: 6.00 ppb	eCOtwo: 414.00 ppm	HCHO: 0.021 ppm
Sun:23:09:20, 	Humidity: 37.35	Temp: 69.87	TVOC: 0.00 ppb	eCOtwo: 422.00 ppm	HCHO: 0.021 ppm
